gene_name	SPOT	Profile	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
GNAI3	ID_0	10	0.00	-0.13	-0.93	-0.80	-1.18	-3.04	-2.46
CDC45	ID_1	10	0.00	-0.80	-3.24	-2.75	-4.68	-5.96	-4.67
H19	ID_2	10	0.00	-1.26	-1.41	-0.78	-2.02	-8.26	-10.71
SCML2	ID_3	17	0.00	0.25	1.23	0.23	0.76	-2.76	-2.20
NARF	ID_5	47	0.00	0.79	0.74	0.83	0.22	0.11	-0.38
CAV2	ID_6	39	0.00	0.60	0.73	1.49	1.88	2.95	3.38
KLF6	ID_7	19	0.00	0.06	0.64	1.03	0.45	-0.24	0.50
SCMH1	ID_8	49	0.00	0.70	1.67	1.29	1.37	0.28	1.04
COX5A	ID_9	18	0.00	0.11	0.50	0.51	0.84	1.05	0.36
TBX2	ID_10	7	0.00	-2.28	0.51	-0.30	-0.90		-2.74
NGFR	ID_13	16	0.00	0.38	1.96	1.22	0.64	-3.40	-4.43
WNT3	ID_14	41	0.00	1.42	1.51	2.14	2.14	1.41	0.38
WNT9A	ID_15	25	0.00	0.25	-1.02	-0.01	-0.79	1.53	1.63
FER	ID_16	10	0.00	-0.05	-0.05	-0.30	-0.83	-1.04	-0.74
XPO6	ID_17	44	0.00	0.48	0.76	0.54	-0.08	-0.40	0.02
TFE3	ID_18	45	0.00	0.59	0.59	0.12	0.30	0.29	0.79
AXIN2	ID_19	10	0.00	0.47	0.22	-0.70	-1.06	-2.00	-1.38
BRAT1	ID_20	49	0.00	0.65	0.65	0.68	0.69	0.69	0.80
GNA12	ID_21	49	0.00	0.77	0.85	0.80	0.65	0.50	0.70
PIH1D2	ID_25	31	0.00	0.39	0.51	0.02	-1.23	-0.70	-1.74
DLAT	ID_26	39	0.00	-0.06	0.37	0.78	1.02	1.64	1.32
SDHD	ID_27	2	0.00	-0.47	-0.61	-0.63	-0.41	-0.35	-0.56
CCND2	ID_28	10	0.00	0.31	-1.56	-1.24	-3.17	-3.85	-2.86
GPR107	ID_29	41	0.00	0.25	0.61	0.57	0.41	0.19	-0.03
BTBD17	ID_30	22	0.00	0.16	-0.46	-0.18	0.09	0.70	0.13
TH	ID_32	47	0.00	1.05	2.16	1.02	2.06	0.03	-1.15
DRP2	ID_35	49	0.00	1.84	3.12	2.75	2.40	1.61	3.64
LHX2	ID_37	44	0.00	1.69	-0.07	0.39	-0.55	-0.59	-0.26
GMPR	ID_38	39	0.00	-0.18	0.64	-0.07	0.80	2.18	1.75
MID2	ID_39	49	0.00	-0.16	2.01	1.03	1.18	1.41	1.68
TRIM25	ID_40	17	0.00	-1.01	0.55	0.14	-1.11	-2.17	-1.20
