Profile ID	Profile Model	Cluster (-1 non-significant)	# Genes Assigned	# Gene Expected	p-value
0	0.0,-2.0,-3.0,-1.0,-3.0,-1.0,-3.0	-1	10.0	24.329997784506315	1.00
1	0.0,-2.0,-3.0,-1.0,1.0,-1.0,-2.0	-1	12.0	35.217118381212615	1.00
2	0.0,-2.0,-2.0,-3.0,-2.0,-1.0,-3.0	-1	19.0	28.59630012554464	0.98
3	0.0,-2.0,-2.0,-1.0,-1.0,-3.0,-1.0	-1	11.0	36.5855549811683	1.00
4	0.0,-2.0,-2.0,0.0,-1.0,0.0,0.0	-1	4.0	36.38431430470423	1.00
5	0.0,-2.0,0.0,-2.0,-3.0,-2.0,-1.0	-1	7.0	31.69540654309135	1.00
6	0.0,-2.0,0.0,-2.0,-1.0,1.0,0.0	-1	11.0	32.05763976072668	1.00
7	0.0,-2.0,0.0,-1.0,-1.0,-1.0,-2.0	-1	8.0	28.012702163798835	1.00
8	0.0,-2.0,0.0,-1.0,0.0,-1.0,0.0	-1	6.0	38.77907835462669	1.00
9	0.0,-2.0,0.0,0.0,-1.0,0.0,0.0	-1	9.0	39.0809393693228	1.00
10	0.0,-1.0,-2.0,-3.0,-4.0,-5.0,-6.0	0	301.0	30.588582822538957	3.0E-194
11	0.0,-1.0,-2.0,-3.0,-2.0,-1.0,0.0	-1	18.0	36.16294956059375	1.00
12	0.0,-1.0,-2.0,-1.0,-3.0,-2.0,-1.0	-1	37.0	31.977143490141053	0.21
13	0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0	-1	9.0	25.778930655047635	1.00
14	0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0	-1	5.0	21.412007975777268	1.00
15	0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0	-1	2.0	27.67059301380991	1.00
16	0.0,-1.0,0.0,0.0,1.0,-1.0,-3.0	6	65.0	36.24344583117938	8.3E-6
17	0.0,-1.0,1.0,0.0,0.0,-2.0,-1.0	5	69.0	32.52049331659405	1.2E-8
18	0.0,-1.0,1.0,1.0,2.0,2.0,0.0	-1	40.0	35.498855328262316	0.24
19	0.0,-1.0,1.0,2.0,1.0,0.0,2.0	-1	32.0	29.421386899047338	0.34
20	0.0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0	-1	17.0	32.50036924894764	1.00
21	0.0,0.0,-1.0,-3.0,-1.0,-3.0,-1.0	-1	14.0	46.50672033084706	1.00
22	0.0,0.0,-1.0,-1.0,0.0,2.0,0.0	-1	30.0	24.490990325677572	0.15
23	0.0,0.0,-1.0,0.0,0.0,0.0,2.0	-1	15.0	18.665072742042685	0.83
24	0.0,0.0,0.0,-1.0,1.0,0.0,1.0	-1	3.0	36.565430913521894	1.00
25	0.0,0.0,0.0,0.0,-1.0,1.0,1.0	-1	34.0	30.809947566649434	0.30
26	0.0,0.0,0.0,0.0,1.0,-1.0,0.0	-1	10.0	27.22786352558895	1.00
27	0.0,0.0,0.0,1.0,-1.0,-1.0,1.0	-1	36.0	37.35026955173178	0.61
28	0.0,0.0,0.0,2.0,0.0,1.0,1.0	-1	5.0	20.566797134628167	1.00
29	0.0,0.0,1.0,-1.0,1.0,1.0,-1.0	-1	3.0	44.03146001033897	1.00
30	0.0,0.0,1.0,0.0,0.0,0.0,2.0	-1	30.0	21.72393102429658	0.05
31	0.0,0.0,1.0,1.0,-1.0,0.0,-1.0	-1	5.0	35.619599734140756	1.00
32	0.0,1.0,-1.0,0.0,1.0,-1.0,1.0	-1	1.0	33.14433941363267	1.00
33	0.0,1.0,-1.0,1.0,-1.0,1.0,0.0	-1	3.0	37.67225463407429	1.00
34	0.0,1.0,-1.0,1.0,0.0,0.0,-2.0	-1	21.0	39.865778007532676	1.00
35	0.0,1.0,-1.0,1.0,1.0,1.0,1.0	-1	6.0	45.46026881323388	1.00
36	0.0,1.0,0.0,2.0,1.0,0.0,1.0	-1	7.0	26.60401742855033	1.00
37	0.0,1.0,1.0,1.0,3.0,1.0,1.0	-1	13.0	22.49870762868326	0.99
38	0.0,1.0,2.0,0.0,1.0,0.0,1.0	-1	12.0	32.23875636954435	1.00
39	0.0,1.0,2.0,3.0,4.0,5.0,6.0	1	268.0	25.71855845210841	3.5E-178
40	0.0,1.0,3.0,2.0,0.0,2.0,2.0	-1	16.0	36.74654752233956	1.00
41	0.0,1.0,3.0,5.0,3.0,1.0,0.0	4	77.0	24.772727272727273	1.6E-17
42	0.0,2.0,0.0,0.0,1.0,1.0,0.0	-1	1.0	32.198508234251534	1.00
43	0.0,2.0,1.0,-1.0,-2.0,0.0,0.0	-1	7.0	42.92463628978658	1.00
44	0.0,2.0,1.0,1.0,1.0,-1.0,0.0	3	84.0	37.16915294291411	1.5E-11
45	0.0,2.0,1.0,1.0,1.0,1.0,2.0	-1	6.0	34.170666863599436	1.00
46	0.0,2.0,2.0,0.0,1.0,3.0,2.0	-1	9.0	36.605679048814714	1.00
47	0.0,2.0,2.0,1.0,1.0,1.0,-1.0	-1	26.0	36.52518277822908	0.97
48	0.0,2.0,2.0,2.0,2.0,3.0,1.0	-1	27.0	36.54530684587549	0.96
49	0.0,2.0,3.0,3.0,3.0,2.0,3.0	2	174.0	40.06701868399675	1.9E-57
