gene_name	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
Gnai3	183.4181475	167.6574445	96.48130691	105.3146125	80.73906873	22.31801574	33.27068984
Cdc45	62.39223871	35.86255496	6.608308693	9.272984749	2.436092591	0.999314137	2.446374253
H19	818.6162404	341.590836	308.9384314	477.8898926	202.1956851	2.6648377	0.489274851
Scml2	2.255141158	2.689691622	5.286646954	2.649424214	3.8281455	0.333104712	0.489274851
Apoh	0	0.224140969	0.330415435	1.98706816	5.220198409	1.998628275	0.978549701
Narf	58.13252763	100.6392949	96.81172235	103.6587224	67.51456609	62.62368594	44.52401141
Cav2	5.763138515	8.741497773	9.582047604	16.22772331	21.22880686	44.63603147	60.18080663
Klf6	28.3145501	29.58660785	44.27566824	57.95615468	38.62946823	23.9835393	40.12053775
Scmh1	14.53313191	23.5348017	46.25816085	35.43604886	37.58542855	17.65454976	29.84576589
Cox5a	358.5674441	385.7466068	505.8660304	511.3388733	640.3443382	744.8221371	459.4290847
Tbx2	3.257426117	0.672422906	4.625816085	2.649424214	1.740066136	0	0.489274851
Tbx4	0	0	0	0.331178027	0	0	0
Zfy2	0	0	0	0	0	0	0
Ngfr	10.52399207	13.67259908	40.97151389	24.50717398	16.35662168	0.999314137	0.489274851
Wnt3	1.503427439	4.034537434	4.29540065	6.623560535	6.612251318	3.99725655	1.957099403
Wnt9a	6.013709755	7.172510993	2.973738912	5.961204481	3.480132273	17.32144505	18.59244432
Fer	13.02970447	12.55189424	12.55578652	10.59769686	7.308277773	6.328989537	7.82839761
Xpo6	36.08225853	50.20757695	61.12685541	52.32612822	34.10529627	27.31458642	36.6956138
Tfe3	15.53541687	23.31066073	23.45949586	16.89007936	19.1407275	18.98696861	26.91011679
Axin2	30.56969125	42.36264305	35.68486694	18.87714752	14.61655555	7.661408387	11.74259642
Brat1	9.271135872	14.56916295	14.53827912	14.9030112	14.96456877	14.98971206	16.14607007
Gna12	55.62681523	94.58748872	100.1158767	97.03516183	87.35132005	78.61271214	90.51584737
Slc22a18	0	0	0.330415435	0.662356053	1.392052909	0.666209425	0.489274851
Itgb2l	0	0	0.660830869	0	0	0	0
Igsf5	0	0.224140969	0	0	0	0.333104712	1.467824552
Pih1d2	3.257426117	4.258678402	4.625816085	3.311780267	1.392052909	1.998628275	0.978549701
Dlat	27.0616939	26.00035235	35.02403607	46.36492374	54.98608991	84.60859697	67.51992939
Sdhd	192.4387122	138.7432595	125.8882806	124.5229381	145.1215158	150.8964347	130.1471103
Ccnd2	331.0046078	410.4021134	112.3412478	139.7571273	36.88940209	22.98422516	45.50256111
Gpr107	22.55141158	26.89691622	34.3632052	33.4489807	29.92913755	25.64906286	22.01736828
Btbd17	30.82026249	34.51770915	22.46824955	27.15659819	32.71324336	49.96570687	33.75996469
Slfn4	0	0	0	0	0	0	0
Th	3.257426117	6.724229056	14.53827912	6.623560535	13.57251586	3.331047125	1.467824552
